ID,Lista,ETAPA1_G1t,ETAPA1_G6t,ETAPA2_G1t,ETAPA2_G6t,ETAPA3_G1t,ETAPA3_G6t,ETAPA4_G1t,ETAPA4_G6t,ID,Uniprot,PFAM,PFAMdescription,BP,BPdescription,MF,MFdescription,CC,CCdescription
TRINITY_DN4893_c0_g1_i1,TRINITY_DN4893_c0_g1_i1,371.388,291.356,128,466.22,16,188,2794.157,6,TRINITY_DN4893_c0_g1_i1,1A1C_SOYBN,PF00155.22,Aminotransferase class I and II,|0042218|0009835|0043450|0009692|0009611|0033993|0009725|1901700|0010087|0009612|0046688|0006979|0051301,|1-aminocyclopropane-1-carboxylate biosynthetic process|fruit ripening|alkene biosynthetic process|ethylene metabolic process|response to wounding|response to lipid|response to hormone|response to oxygen-containing compound|phloem or xylem histogenesis|response to mechanical stimulus|response to copper ion|response to oxidative stress|cell division,|0030170|0016847|0042802,|pyridoxal phosphate binding|1-aminocyclopropane-1-carboxylate synthase activity|identical protein binding,.,.
TRINITY_DN2726_c0_g1_i4,TRINITY_DN2726_c0_g1_i4,113.526,70.905,73.623,57.582,92.999,328.055,19.085,244.029,TRINITY_DN2726_c0_g1_i4,AP2_ARATH,PF00847.21,AP2 domain   ,|0006355|0006952|0009873|0010093|0048481|0010073|0048316|0030154,|regulation of transcription DNA-templated|defense response|ethylene-activated signaling pathway|specification of floral organ identity|plant ovule development|meristem maintenance|seed development|cell differentiation,|0003700|0003677,|DNA-binding transcription factor activity|DNA binding,|0005634,|nucleus
TRINITY_DN3298_c0_g1_i7,TRINITY_DN3298_c0_g1_i7,0,176.716,233.306,107.094,0,49.394,28.185,0,TRINITY_DN3298_c0_g1_i7,RBK1_ARATH,PF00069.26,Protein kinase domain  ,|0006468|0071369|0050832|0018212|0090502,|protein phosphorylation|cellular response to ethylene stimulus|defense response to fungus|peptidyl-tyrosine modification|RNA phosphodiester bond hydrolysis endonucleolytic,|0004672|0005524|0051020|0004523|0003676,|protein kinase activity|ATP binding|GTPase binding|RNA-DNA hybrid ribonuclease activity|nucleic acid binding,|0005829|0012505|0005634|0016020,|cytosol|endomembrane system|nucleus|membrane
TRINITY_DN59_c0_g1_i8,TRINITY_DN59_c0_g1_i8,414.998,114.507,171.245,67.086,445.479,318.52,22.07,60.661,TRINITY_DN59_c0_g1_i8,Y1561_ARATH,PF11721.9,Malectin domain   ,|0006468|0009734|0006865|0006508|0055085|0006468|0006412,|protein phosphorylation|auxin-activated signaling pathway|amino acid transport|proteolysis|transmembrane transport|protein phosphorylation|translation,|0004672|0005524|0008017|0015293|0004190|0016301|0016773|0140096|0005524|0003735,|protein kinase activity|ATP binding|microtubule binding|symporter activity|aspartic-type endopeptidase activity|kinase activity|phosphotransferase activity alcohol group as acceptor|catalytic activity acting on a protein|ATP binding|structural constituent of ribosome,|0016021|0005886|0016021|0005886|0005840,|integral component of membrane|plasma membrane|integral component of membrane|plasma membrane|ribosome
TRINITY_DN5681_c0_g1_i4,TRINITY_DN5681_c0_g1_i4,70.409,425.45,668.211,201.625,37.744,329.032,271.33,40.765,TRINITY_DN5681_c0_g1_i4,AAP2_ARATH,PF01490.19,Transmembrane amino acid transporter protein,|0006865|0009734|0055085,|amino acid transport|auxin-activated signaling pathway|transmembrane transport,|0015293,|symporter activity,|0016021|0005886,|integral component of membrane|plasma membrane
TRINITY_DN2589_c0_g1_i1,TRINITY_DN2589_c0_g1_i1,462.434,445.747,515.416,338.084,178.586,470.153,183.976,250.052,TRINITY_DN2589_c0_g1_i1,RHM1_ARATH,PF16363.6,GDP-mannose 4,|0009225|0051555|0010315|1901137|0034654|0006793,|nucleotide-sugar metabolic process|flavonol biosynthetic process|auxin efflux|carbohydrate derivative biosynthetic process|nucleobase-containing compound biosynthetic process|phosphorus metabolic process,|0008460|0010280|0050377,|dTDP-glucose 46-dehydratase activity|UDP-L-rhamnose synthase activity|UDP-glucose 46-dehydratase activity,.,.
TRINITY_DN9939_c0_g1_i10,TRINITY_DN9939_c0_g1_i10,2.213,4.624,1.987,7.522,25.546,76.609,0,106.195,TRINITY_DN9939_c0_g1_i10,ILR1_ARATH,PF01546.29,Peptidase family M20/M25/M40  ,|0009850|0009694|0009850|0009694,|auxin metabolic process|jasmonic acid metabolic process|auxin metabolic process|jasmonic acid metabolic process,|0010179|0016787,|IAA-Ala conjugate hydrolase activity|hydrolase activity,|0005783|0016021|0005783|0016021,|endoplasmic reticulum|integral component of membrane|endoplasmic reticulum|integral component of membrane
TRINITY_DN1968_c1_g2_i1,TRINITY_DN1968_c1_g2_i1,215.981,0,389.592,108.286,111.154,133.761,0,0,TRINITY_DN1968_c1_g2_i1,EIL1B_ORYSJ,PF04873.14,Ethylene insensitive 3  ,|0009873|0006355|0042742,|ethylene-activated signaling pathway|regulation of transcription DNA-templated|defense response to bacterium,|0003700|0003677|0005515,|DNA-binding transcription factor activity|DNA binding|protein binding,|0005634,|nucleus
TRINITY_DN3592_c0_g1_i7,TRINITY_DN3592_c0_g1_i7,0,56.619,117.72,125.008,0,202.913,0,0,TRINITY_DN3592_c0_g1_i7,AIR9_ARATH,PF12799.8,Leucine Rich repeats (2 copies),|0010102|0009733|0007049|0051301,|lateral root morphogenesis|response to auxin|cell cycle|cell division,|0005515,|protein binding,|0009506|0009574|0009524|0055028|0005886,|plasmodesma|preprophase band|phragmoplast|cortical microtubule|plasma membrane
TRINITY_DN9117_c0_g1_i1,TRINITY_DN9117_c0_g1_i1,0,79.319,85.978,154.807,244.375,0,0,0,TRINITY_DN9117_c0_g1_i1,LAX3_MEDTR,PF01490.19,Transmembrane amino acid transporter protein,|0006865|0009733|0009755|0055085|0060919|0048829|0010311|0009926,|amino acid transport|response to auxin|hormone-mediated signaling pathway|transmembrane transport|auxin influx|root cap development|lateral root formation|auxin polar transport,|0015293|0010328,|symporter activity|auxin influx transmembrane transporter activity,|0016021|0005886,|integral component of membrane|plasma membrane
TRINITY_DN4322_c0_g1_i8,TRINITY_DN4322_c0_g1_i8,115.987,0,136.806,52.706,37.858,0,0,0,TRINITY_DN4322_c0_g1_i8,XB33_ARATH,PF12796.8,Ankyrin repeats (3 copies) ,|0016567|1900912|0031336|0010364|0010311|0009733|0006511|0031327|0006490|0006487,|protein ubiquitination|negative regulation of olefin biosynthetic process|negative regulation of sulfur amino acid metabolic process|regulation of ethylene biosynthetic process|lateral root formation|response to auxin|ubiquitin-dependent protein catabolic process|negative regulation of cellular biosynthetic process|oligosaccharide-lipid intermediate biosynthetic process|protein N-linked glycosylation,|0016740|0140096|0016874|0046872,|transferase activity|catalytic activity acting on a protein|ligase activity|metal ion binding,|0005789,|endoplasmic reticulum membrane
TRINITY_DN304_c0_g2_i3,TRINITY_DN304_c0_g2_i3,298.578,178.182,145.133,86.178,132.493,375.615,241.944,477.627,TRINITY_DN304_c0_g2_i3,DWRF8_MAIZE,PF03514.15,GRAS domain family  ,|0009740|0006355|2000033|0010187|0009938|0009863|0042538|0009867|0009723|2000377|0009737,|gibberellic acid mediated signaling pathway|regulation of transcription DNA-templated|regulation of seed dormancy process|negative regulation of seed germination|negative regulation of gibberellic acid mediated signaling pathway|salicylic acid mediated signaling pathway|hyperosmotic salinity response|jasmonic acid mediated signaling pathway|response to ethylene|regulation of reactive oxygen species metabolic process|response to abscisic acid,|0003712|0043565|0003700|0005515,|transcription coregulator activity|sequence-specific DNA binding|DNA-binding transcription factor activity|protein binding,|0005634,|nucleus
TRINITY_DN1503_c0_g1_i6,TRINITY_DN1503_c0_g1_i6,41.687,3.834,34.337,168.151,69.478,268.015,0,0,TRINITY_DN1503_c0_g1_i6,PILS3_ARATH,PF03547.19,Membrane transport protein  ,|0009734|0055085,|auxin-activated signaling pathway|transmembrane transport,.,.,|0016021,|integral component of membrane
TRINITY_DN117_c0_g1_i9,TRINITY_DN117_c0_g1_i9,325.034,148.435,580.722,257.037,111.135,452.915,30.297,47.848,TRINITY_DN117_c0_g1_i9,AIL1_ARATH,PF00847.21,AP2 domain   ,|0009873|0006952|0006355|0060774|0060772|0010311|0040019|0009845,|ethylene-activated signaling pathway|defense response|regulation of transcription DNA-templated|auxin mediated signaling pathway involved in phyllotactic patterning|leaf phyllotactic patterning|lateral root formation|positive regulation of embryonic development|seed germination,|0003700|0003677|0001067,|DNA-binding transcription factor activity|DNA binding|regulatory region nucleic acid binding,|0005634|0016021,|nucleus|integral component of membrane
TRINITY_DN6250_c0_g1_i4,TRINITY_DN6250_c0_g1_i4,7.378,134.409,79.511,53.673,23.385,0,2.319,2.572,TRINITY_DN6250_c0_g1_i4,NPY2_ARATH,PF03000.15,NPH3 family   ,|0016567|0009958|0060918|0099402,|protein ubiquitination|positive gravitropism|auxin transport|plant organ development,|0031625|0004842,|ubiquitin protein ligase binding|ubiquitin-protein transferase activity,|0031461,|cullin-RING ubiquitin ligase complex
TRINITY_DN560_c0_g1_i8,TRINITY_DN560_c0_g1_i8,76.598,0,58.863,35.36,0,34.304,0,0,TRINITY_DN560_c0_g1_i8,SIR1_ORYSI,PF02146.18,Sir2 family   ,|0043970|0070932|0009873|0000122,|histone H3-K9 acetylation|histone H3 deacetylation|ethylene-activated signaling pathway|negative regulation of transcription by RNA polymerase II,|0070403|0016740|0004407|0003714|0034979|0046872,|NAD+ binding|transferase activity|histone deacetylase activity|transcription corepressor activity|NAD-dependent protein deacetylase activity|metal ion binding,|0005634|0016021,|nucleus|integral component of membrane
TRINITY_DN7045_c0_g1_i4,TRINITY_DN7045_c0_g1_i4,57.824,33.385,126.951,66.616,18.532,103.564,4.742,3.163,TRINITY_DN7045_c0_g1_i4,ARFS_ARATH,PF06507.14,Auxin response factor  ,|0009734|0006355|0010311|0048366|0009723|0006457,|auxin-activated signaling pathway|regulation of transcription DNA-templated|lateral root formation|leaf development|response to ethylene|protein folding,|0003677|0005524|0005515|0003700,|DNA binding|ATP binding|protein binding|DNA-binding transcription factor activity,|0005634,|nucleus
TRINITY_DN180_c0_g1_i21,TRINITY_DN180_c0_g1_i21,136.715,222.671,709.464,220.216,232.003,442.714,32.744,53.794,TRINITY_DN180_c0_g1_i21,ARFB_ARATH,PF06507.14,Auxin response factor  ,|0009734|0006355|0009911|0007568|0010047|1903288|0048481|0010227|0048366|0009737|0008285|1903507|2000113|0010154|0071695,|auxin-activated signaling pathway|regulation of transcription DNA-templated|positive regulation of flower development|aging|fruit dehiscence|positive regulation of potassium ion import across plasma membrane|plant ovule development|floral organ abscission|leaf development|response to abscisic acid|negative regulation of cell population proliferation|negative regulation of nucleic acid-templated transcription|negative regulation of cellular macromolecule biosynthetic process|fruit development|anatomical structure maturation,|0003677|0005515|0003700,|DNA binding|protein binding|DNA-binding transcription factor activity,|0005634,|nucleus
TRINITY_DN9004_c0_g1_i3,TRINITY_DN9004_c0_g1_i3,61.867,28.738,9.139,0,2.766,53.58,28.684,162.119,TRINITY_DN9004_c0_g1_i3,MYB06_ANTMA,PF00249.32,Myb-like DNA-binding domain  ,|0009733,|response to auxin,.,.,|0005634,|nucleus
TRINITY_DN5202_c0_g1_i2,TRINITY_DN5202_c0_g1_i2,36.819,0,35.691,28.68,34.744,77.586,0,0,TRINITY_DN5202_c0_g1_i2,GAT1_ARATH,PF01490.19,Transmembrane amino acid transporter protein,|0006865|0009734|0046942|0055085,|amino acid transport|auxin-activated signaling pathway|carboxylic acid transport|transmembrane transport,|0015293|0015185,|symporter activity|gamma-aminobutyric acid transmembrane transporter activity,|0005886|0016021,|plasma membrane|integral component of membrane
TRINITY_DN9195_c0_g1_i6,TRINITY_DN9195_c0_g1_i6,46.682,173.027,138.073,206.928,27.003,205.561,15.864,26.691,TRINITY_DN9195_c0_g1_i6,PILS1_ARATH,PF03547.19,Membrane transport protein  ,|0009734|0055085,|auxin-activated signaling pathway|transmembrane transport,.,.,|0016021,|integral component of membrane
TRINITY_DN8575_c0_g1_i1,TRINITY_DN8575_c0_g1_i1,24.502,0,0,0,0,120.183,13.291,13,TRINITY_DN8575_c0_g1_i1,HLS1L_ARATH,PF00583.26,Acetyltransferase (GNAT) family  ,|0009640|0009826|0009723|0009734|0040008,|photomorphogenesis|unidimensional cell growth|response to ethylene|auxin-activated signaling pathway|regulation of growth,|0008080|0005515,|N-acetyltransferase activity|protein binding,.,.
TRINITY_DN6890_c1_g1_i1,TRINITY_DN6890_c1_g1_i1,206.142,583.388,550.371,315.059,392.522,1005.31,52.679,104.596,TRINITY_DN6890_c1_g1_i1,TPR3_ORYSJ,PF00400.33,WD domain,|0006355|0010072|0010051|0009867|0009733|1903507|2000113,|regulation of transcription DNA-templated|primary shoot apical meristem specification|xylem and phloem pattern formation|jasmonic acid mediated signaling pathway|response to auxin|negative regulation of nucleic acid-templated transcription|negative regulation of cellular macromolecule biosynthetic process,|0042803,|protein homodimerization activity,|0005829|0005634|0016021,|cytosol|nucleus|integral component of membrane
TRINITY_DN7617_c0_g1_i2,TRINITY_DN7617_c0_g1_i2,17.18,16.073,28.388,24.705,6.923,73.274,0,0,TRINITY_DN7617_c0_g1_i2,EGY1_ARATH,PF02163.23,Peptidase family M50  ,|0006508|0043157|0060359|0048564|0010027|0009959|0010207|0009723|0009658|0009416|0007275,|proteolysis|response to cation stress|response to ammonium ion|photosystem I assembly|thylakoid membrane organization|negative gravitropism|photosystem II assembly|response to ethylene|chloroplast organization|response to light stimulus|multicellular organism development,|0008237|0004175|0016740,|metallopeptidase activity|endopeptidase activity|transferase activity,|0016021|0031969,|integral component of membrane|chloroplast membrane
TRINITY_DN15329_c0_g1_i3,TRINITY_DN15329_c0_g1_i3,14.569,0,40.351,15.804,5.259,43.863,0,0,TRINITY_DN15329_c0_g1_i3,MYBS3_ORYSJ,PF00249.32,Myb-like DNA-binding domain  ,|0009739|0009723|0009733|0009744|0045892,|response to gibberellin|response to ethylene|response to auxin|response to sucrose|negative regulation of transcription DNA-templated,|0003677|0003700,|DNA binding|DNA-binding transcription factor activity,|0005634,|nucleus
TRINITY_DN304_c0_g2_i8,TRINITY_DN304_c0_g2_i8,0,81.355,191.378,161,230.091,396.338,382.008,305.299,TRINITY_DN304_c0_g2_i8,DWRF8_MAIZE,PF03514.15,GRAS domain family  ,|0009740|0006355|2000033|0010187|0009938|0009863|0042538|0009867|0009723|2000377|0009737,|gibberellic acid mediated signaling pathway|regulation of transcription DNA-templated|regulation of seed dormancy process|negative regulation of seed germination|negative regulation of gibberellic acid mediated signaling pathway|salicylic acid mediated signaling pathway|hyperosmotic salinity response|jasmonic acid mediated signaling pathway|response to ethylene|regulation of reactive oxygen species metabolic process|response to abscisic acid,|0003712|0043565|0003700|0005515,|transcription coregulator activity|sequence-specific DNA binding|DNA-binding transcription factor activity|protein binding,|0005634,|nucleus
TRINITY_DN47_c0_g1_i4,TRINITY_DN47_c0_g1_i4,110.114,13.081,61.013,55.243,69.294,215.195,105.977,123.693,TRINITY_DN47_c0_g1_i4,NC100_ARATH,PF02365.16,No apical meristem (NAM) protein,|0006355|1900057|1904248|0010150|0080187|0042542|0090400|1902074|0048527|0010029|0009723|0045089|0009651|0009737|0044093|0043068|0009733|1903508|0009611,|regulation of transcription DNA-templated|positive regulation of leaf senescence|regulation of age-related resistance|leaf senescence|floral organ senescence|response to hydrogen peroxide|stress-induced premature senescence|response to salt|lateral root development|regulation of seed germination|response to ethylene|positive regulation of innate immune response|response to salt stress|response to abscisic acid|positive regulation of molecular function|positive regulation of programmed cell death|response to auxin|positive regulation of nucleic acid-templated transcription|response to wounding,|0003677|0003700|0042803|0046982|0001067,|DNA binding|DNA-binding transcription factor activity|protein homodimerization activity|protein heterodimerization activity|regulatory region nucleic acid binding,|0005634|0016021,|nucleus|integral component of membrane
TRINITY_DN23851_c0_g1_i6,TRINITY_DN23851_c0_g1_i6,0,79.568,50.172,30.467,22.486,95.572,0,3.361,TRINITY_DN23851_c0_g1_i6,MOCOS_ORYSJ,PF00266.20,Aminotransferase class-V   ,|0006777|0018315|0043289|0010118|0009687|0045037|0010182|0016106|0009749|0120255|1902645|0009651|0009409|0009734|0042742|0009408|0072330|0006777|0006730,|Mo-molybdopterin cofactor biosynthetic process|molybdenum incorporation into molybdenum-molybdopterin complex|apocarotenoid biosynthetic process|stomatal movement|abscisic acid metabolic process|protein import into chloroplast stroma|sugar mediated signaling pathway|sesquiterpenoid biosynthetic process|response to glucose|olefinic compound biosynthetic process|tertiary alcohol biosynthetic process|response to salt stress|response to cold|auxin-activated signaling pathway|defense response to bacterium|response to heat|monocarboxylic acid biosynthetic process|Mo-molybdopterin cofactor biosynthetic process|one-carbon metabolic process,|0008265|0102867|0030151|0030170|0016829|0008483|0003677|0008265|0102867|0030151|0030170|0016829|0008483,|Mo-molybdopterin cofactor sulfurase activity|molybdenum cofactor sulfurtransferase activity|molybdenum ion binding|pyridoxal phosphate binding|lyase activity|transaminase activity|DNA binding|Mo-molybdopterin cofactor sulfurase activity|molybdenum cofactor sulfurtransferase activity|molybdenum ion binding|pyridoxal phosphate binding|lyase activity|transaminase activity,|0016021,|integral component of membrane
TRINITY_DN10649_c0_g1_i6,TRINITY_DN10649_c0_g1_i6,0,41.289,33.511,15.705,68.475,88.219,0,0,TRINITY_DN10649_c0_g1_i6,GPA1_LOTJA,PF00503.21,G-protein alpha subunit  ,|0007188|0010476|0010244|0048584|0090333|0009845|0009787|0034260|0010027|0006952|0009742|0009749|0009738|0048639|0009785|0019236|0002764|0006571|0009094|0042127|0008219|0023056|0010647|0002684|0045088|0072593|0002376|0007188|0010476|0010244|0048584|0090333|0009845|0009787|0034260|0010027|0006952|0009742|0009749|0048639|0009738|0002764|0009785|0019236|0006571|0009094|0042127|0008219|0002684|0023056|0010647|0045088|0072593|0002376,|adenylate cyclase-modulating G protein-coupled receptor signaling pathway|gibberellin mediated signaling pathway|response to low fluence blue light stimulus by blue low-fluence system|positive regulation of response to stimulus|regulation of stomatal closure|seed germination|regulation of abscisic acid-activated signaling pathway|negative regulation of GTPase activity|thylakoid membrane organization|defense response|brassinosteroid mediated signaling pathway|response to glucose|abscisic acid-activated signaling pathway|positive regulation of developmental growth|blue light signaling pathway|response to pheromone|immune response-regulating signaling pathway|tyrosine biosynthetic process|L-phenylalanine biosynthetic process|regulation of cell population proliferation|cell death|positive regulation of signaling|positive regulation of cell communication|positive regulation of immune system process|regulation of innate immune response|reactive oxygen species metabolic process|immune system process|adenylate cyclase-modulating G protein-coupled receptor signaling pathway|gibberellin mediated signaling pathway|response to low fluence blue light stimulus by blue low-fluence system|positive regulation of response to stimulus|regulation of stomatal closure|seed germination|regulation of abscisic acid-activated signaling pathway|negative regulation of GTPase activity|thylakoid membrane organization|defense response|brassinosteroid mediated signaling pathway|response to glucose|positive regulation of developmental growth|abscisic acid-activated signaling pathway|immune response-regulating signaling pathway|blue light signaling pathway|response to pheromone|tyrosine biosynthetic process|L-phenylalanine biosynthetic process|regulation of cell population proliferation|cell death|positive regulation of immune system process|positive regulation of signaling|positive regulation of cell communication|regulation of innate immune response|reactive oxygen species metabolic process|immune system process,|0031683|0001664|0003924|0019001|0032550|0005095|0035639|0032555|0046872|0016247|0051020|0031683|0001664|0003924|0019001|0032550|0035639|0032555|0046872|0005095|0016247|0051020,|G-protein beta/gamma-subunit complex binding|G protein-coupled receptor binding|GTPase activity|guanyl nucleotide binding|purine ribonucleoside binding|GTPase inhibitor activity|purine ribonucleoside triphosphate binding|purine ribonucleotide binding|metal ion binding|channel regulator activity|GTPase binding|G-protein beta/gamma-subunit complex binding|G protein-coupled receptor binding|GTPase activity|guanyl nucleotide binding|purine ribonucleoside binding|purine ribonucleoside triphosphate binding|purine ribonucleotide binding|metal ion binding|GTPase inhibitor activity|channel regulator activity|GTPase binding,|1905360|0031234|0098797|0009506|0042579|0005789|0016021|1905360|0031234|0098797|0009506|0042579|0005789|0016021,|GTPase complex|extrinsic component of cytoplasmic side of plasma membrane|plasma membrane protein complex|plasmodesma|microbody|endoplasmic reticulum membrane|integral component of membrane|GTPase complex|extrinsic component of cytoplasmic side of plasma membrane|plasma membrane protein complex|plasmodesma|microbody|endoplasmic reticulum membrane|integral component of membrane
TRINITY_DN8416_c0_g2_i1,TRINITY_DN8416_c0_g2_i1,1619.104,1292.341,1363.5,602.209,1403.831,1872.968,1341.093,1817.999,TRINITY_DN8416_c0_g2_i1,FLA17_ARATH,PF02469.23,Fasciclin domain   ,|0090376|0009735|0009739|0007155|0009733|0009651|0009737,|seed trichome differentiation|response to cytokinin|response to gibberellin|cell adhesion|response to auxin|response to salt stress|response to abscisic acid,.,.,|0016021,|integral component of membrane
TRINITY_DN8990_c0_g1_i3,TRINITY_DN8990_c0_g1_i3,15.496,4,30.995,20,0,164.962,0,1,TRINITY_DN8990_c0_g1_i3,GRF1_ORYSI,PF08879.11,WRC    ,|0032502|0006351|0006355|0009739|0009409|0032501,|developmental process|transcription DNA-templated|regulation of transcription DNA-templated|response to gibberellin|response to cold|multicellular organismal process,|0005524|0005515,|ATP binding|protein binding,|0005634|0016021,|nucleus|integral component of membrane
TRINITY_DN4005_c0_g1_i2,TRINITY_DN4005_c0_g1_i2,312,355.589,288.469,220.654,214,418.283,923.485,311.934,TRINITY_DN4005_c0_g1_i2,GID1C_ARATH,PF07859.14,alpha/beta hydrolase fold  ,|0009939|0010325|0048444|0048530|0010476|1905516|0010629,|positive regulation of gibberellic acid mediated signaling pathway|raffinose family oligosaccharide biosynthetic process|floral organ morphogenesis|fruit morphogenesis|gibberellin mediated signaling pathway|positive regulation of fertilization|negative regulation of gene expression,|0010331|0016787|0005515,|gibberellin binding|hydrolase activity|protein binding,|0005634|0005737|0016021,|nucleus|cytoplasm|integral component of membrane
TRINITY_DN2644_c0_g1_i28,TRINITY_DN2644_c0_g1_i28,17.853,0,19.81,24.863,0,42.837,0,0,TRINITY_DN2644_c0_g1_i28,CSN5A_ARATH,PF01398.22,JAB1/Mov34/MPN/PAD-1 ubiquitin protease  ,|0006508|0070647|0010093|0010100|1990641|0009585|0010971|0010387|0009733|0031347,|proteolysis|protein modification by small protein conjugation or removal|specification of floral organ identity|negative regulation of photomorphogenesis|response to iron ion starvation|red far-red light phototransduction|positive regulation of G2/M transition of mitotic cell cycle|COP9 signalosome assembly|response to auxin|regulation of defense response,|0070122|0004222|0046872|0019784|0005515,|isopeptidase activity|metalloendopeptidase activity|metal ion binding|NEDD8-specific protease activity|protein binding,|0008180|0005737|0000502|0016021,|COP9 signalosome|cytoplasm|proteasome complex|integral component of membrane
TRINITY_DN7045_c0_g1_i16,TRINITY_DN7045_c0_g1_i16,42.024,13.224,54.299,69.066,18.886,104.982,4.268,10.013,TRINITY_DN7045_c0_g1_i16,ARFS_ARATH,PF06507.14,Auxin response factor  ,|0009734|0006355|0006457,|auxin-activated signaling pathway|regulation of transcription DNA-templated|protein folding,|0003677|0005524,|DNA binding|ATP binding,|0005634,|nucleus
TRINITY_DN1731_c0_g1_i3,TRINITY_DN1731_c0_g1_i3,29.559,118.28,107.827,70.235,34.688,121.378,5.059,19.216,TRINITY_DN1731_c0_g1_i3,THOC1_ARATH,PF11957.9,THO complex subunit 1 transcription,|0071427|0051028|0032784|0010267|0009873|0050832|0006260,|mRNA-containing ribonucleoprotein complex export from nucleus|mRNA transport|regulation of DNA-templated transcription elongation|production of ta-siRNAs involved in RNA interference|ethylene-activated signaling pathway|defense response to fungus|DNA replication,.,.,|0000347|0000346|0000811|0016021,|THO complex|transcription export complex|GINS complex|integral component of membrane
TRINITY_DN4551_c0_g1_i4,TRINITY_DN4551_c0_g1_i4,0,12.465,15.625,24.573,27.44,12.311,0,0,TRINITY_DN4551_c0_g1_i4,AXR1_ARATH,PF04934.15,MED6 mediator sub complex component,|0045116|0018215|0009791|0010252|0045116|0018215|0009791,|protein neddylation|protein phosphopantetheinylation|post-embryonic development|auxin homeostasis|protein neddylation|protein phosphopantetheinylation|post-embryonic development,|0019781|0005515|0000166|0019781,|NEDD8 activating enzyme activity|protein binding|nucleotide binding|NEDD8 activating enzyme activity,|0005737|0043231|0016021|0005737|0043231,|cytoplasm|intracellular membrane-bounded organelle|integral component of membrane|cytoplasm|intracellular membrane-bounded organelle
TRINITY_DN9004_c0_g1_i19,TRINITY_DN9004_c0_g1_i19,56.799,0,41.994,7.682,39.561,0,0,0,TRINITY_DN9004_c0_g1_i19,MYB06_ANTMA,PF00249.32,Myb-like DNA-binding domain  ,|0009733|0009626|0042761|0001666|0009617|0006355,|response to auxin|plant-type hypersensitive response|very long-chain fatty acid biosynthetic process|response to hypoxia|response to bacterium|regulation of transcription DNA-templated,|0005515|0003700|0003677,|protein binding|DNA-binding transcription factor activity|DNA binding,|0005634,|nucleus
TRINITY_DN4631_c0_g1_i10,TRINITY_DN4631_c0_g1_i10,0,49.695,35.813,9.597,22.907,58.444,0,0,TRINITY_DN4631_c0_g1_i10,EER5_ARATH,.,.,|0016973|0000973|0071033|0006368|0009873|0048364|0060968,|poly(A)+ mRNA export from nucleus|posttranscriptional tethering of RNA polymerase II gene DNA at nuclear periphery|nuclear retention of pre-mRNA at the site of transcription|transcription elongation from RNA polymerase II promoter|ethylene-activated signaling pathway|root development|regulation of gene silencing,|0003690|0003723|0005515,|double-stranded DNA binding|RNA binding|protein binding,|0070390,|transcription export complex 2
TRINITY_DN9885_c0_g2_i4,TRINITY_DN9885_c0_g2_i4,66.729,87.493,74.313,43.869,60.091,160.391,330,41,TRINITY_DN9885_c0_g2_i4,GRF5_ORYSJ,.,.,|0032502|0006351|0006355|0030912|0009739,|developmental process|transcription DNA-templated|regulation of transcription DNA-templated|response to deep water|response to gibberellin,|0005524,|ATP binding,|0005634|0016021,|nucleus|integral component of membrane
TRINITY_DN8810_c0_g1_i2,TRINITY_DN8810_c0_g1_i2,31.9,2.851,13.774,25.376,7.795,48.628,0,0,TRINITY_DN8810_c0_g1_i2,LIP1_ARATH,PF04083.17,Partial alpha/beta-hydrolase lipase region ,|0016042|2000033|0010029|0009739|0009820|0071396|0009755|1901701|0046486,|lipid catabolic process|regulation of seed dormancy process|regulation of seed germination|response to gibberellin|alkaloid metabolic process|cellular response to lipid|hormone-mediated signaling pathway|cellular response to oxygen-containing compound|glycerolipid metabolic process,|0016787|0016788,|hydrolase activity|hydrolase activity acting on ester bonds,|0005615|0016021,|extracellular space|integral component of membrane
TRINITY_DN10885_c0_g1_i3,TRINITY_DN10885_c0_g1_i3,0,73,20.409,18.62,0,78.815,0,0,TRINITY_DN10885_c0_g1_i3,GH311_ORYSJ,PF03321.14,GH3 auxin-responsive promoter  ,|0009733|0009416,|response to auxin|response to light stimulus,|0016881,|acid-amino acid ligase activity,|0005737|0031967|0043231,|cytoplasm|organelle envelope|intracellular membrane-bounded organelle
TRINITY_DN2419_c0_g1_i2,TRINITY_DN2419_c0_g1_i2,0,30.689,389.357,0,277.583,444.387,0,0,TRINITY_DN2419_c0_g1_i2,PKL_ARATH,PF08074.12,CHDCT2 (NUC038) domain  ,|0051276|2000023|0009788|0009736|0009739|0048364|0009733|0045892|0051301,|chromosome organization|regulation of lateral root development|negative regulation of abscisic acid-activated signaling pathway|cytokinin-activated signaling pathway|response to gibberellin|root development|response to auxin|negative regulation of transcription DNA-templated|cell division,|0005524|0046872|0004386|0140097|0003677,|ATP binding|metal ion binding|helicase activity|catalytic activity acting on DNA|DNA binding,|0005634,|nucleus
